cpu_name,cpu_msrp
AMD Ryzen Threadripper 3990X,"$3,990 "
AMD Ryzen Threadripper 3970X,"$1,999 "
Intel Core i7-6950X Processor,"$1,723 "
AMD Ryzen Threadripper 3960X,"$1,399 "
Intel Core i7-5960X Processor,$999 
Intel Core i9-7900X Processor,$989 
Intel Core i9-10980XE Extreme Edition Processor,$979 
AMD Ryzen 9 5950X,$799 
AMD Ryzen 9 3950X,$749 
Intel Core i9-12900KS Processor,$739 
AMD Ryzen 9 7950X,$699 
Intel Core i9-12900K Processor,$599 
Intel Core i9-10900X X-series Processor,$590 
Intel Core i9-13900K Processor,$589 
Intel Core i7-7820X Processor,$589 
Intel Core i7-5930K Processor,$583 
Intel Core i9-13900KF Processor,$569 
Intel Core i9-12900KF Processor,$569 
AMD Ryzen 9 7900X,$549 
AMD Ryzen 9 5900X,$549 
Intel Core i9-11900K Processor,$539 
Intel Core i9-9900KS Processor,$524 
Intel Core i9-11900KF Processor,$513 
Intel Core i9-12900 Processor,$499 
AMD Ryzen 9 3900X,$499 
AMD Ryzen 9 3900XT,$499 
AMD Ryzen 7 1800X,$499 
Intel Core i9-10900K Processor,$488 
Intel Core i9-9900K Processor,$488 
Intel Core i9-10900KF Processor,$463 
Intel Core i9-9900KF Processor,$463 
Intel Core i9-10850K Processor,$453 
Intel Core i7-10875H,$450 
AMD Ryzen 7 5800X,$449 
Intel Core i7-8086K Processor,$425 
Intel Core i9-10900F Processor,$422 
Intel Core i7-13700K Processor,$409 
Intel Core i7-12700K Processor,$409 
AMD Ryzen 7 7700X,$399 
Intel Core i7-11700K Processor,$399 
AMD Ryzen 7 3800XT,$399 
AMD Ryzen 7 3800X,$399 
AMD Ryzen 7 1700X,$399 
Intel Core i7-10750H,$395 
Intel Core i7-9750H Processor,$395 
Intel Core i7-8750H Processor,$395 
Intel Core i7-13700KF Processor,$389 
Intel Core i7-12700KF Processor,$389 
Intel Core i7-5820K Processor,$389 
Intel Core i7-7700HQ Processor,$378 
Intel Core i7-6700HQ Processor,$378 
Intel Core i7-11700KF Processor,$374 
Intel Core i7-10700K Processor,$374 
Intel Core i7-9700K Processor,$374 
Intel Core i7-8700K Processor,$359 
Intel Core i7-4770K Processor,$350 
Intel Core i7-12700 Processor,$349 
Intel Core i7-10700KF Processor,$349 
Intel Core i7-9700KF Processor,$349 
Intel Core i7-3770K Processor,$342 
Intel Core i7-7700K Processor,$339 
Intel Core i7-6700K Processor,$339 
Intel Core i7-4790K Processor,$339 
AMD Ryzen 7 3700X,$329 
AMD Ryzen 7 2700X,$329 
AMD Ryzen 7 1700,$329 
Intel Core i7-11700 Processor,$323 
Intel Core i7-10700 Processor,$323 
Intel Core i7-9700 Processor,$323 
Intel Core i5-13600K Processor,$319 
Intel Core i7-12700F Processor,$319 
Intel Core i7-2600K Processor,$317 
Intel Core i7-4770 Processor,$312 
Intel Core i7-8700 Processor,$303 
Intel Core i7-7700 Processor,$303 
Intel Core i7-6700 Processor,$303 
Intel Core i7-4790 Processor,$303 
Intel Core i5-13600KF Processor,$299 
Intel Core i7-10700F Processor,$299 
AMD Ryzen 5 5600X,$299 
AMD Ryzen 7 2700,$299 
Intel Core i7-11700F Processor,$298 
Intel Core i7-9700F Processor,$298 
Intel Core i5-12600K Processor,$289 
Intel Core i7-3770 Processor,$272 
Intel Core i5-12600KF Processor,$269 
Intel Core i5-11600K Processor,$262 
Intel Core i5-10600K Processor,$262 
Intel Core i5-9600K Processor,$262 
AMD Ryzen 5 5600G,$259 
Intel Core i5-8600K Processor,$257 
Intel Core i5-9300H Processor,$250 
Intel Core i5-8300H Processor,$250 
Intel Xeon Processor E3-1231 v3,$250 
AMD Ryzen 5 3600XT,$249 
AMD Ryzen 5 3600X,$249 
AMD Ryzen 5 1600X,$249 
Intel Core i5-4690K Processor,$243 
Intel Core i5-7600K Processor,$242 
Intel Core i5-6600K Processor,$242 
Intel Core i5-11600KF Processor,$237 
Intel Core i5-10600KF Processor,$237 
Intel Core i5-9600KF Processor,$237 
Intel Core i5-12600 Processor,$229 
AMD Ryzen 5 2600X,$229 
AMD Ryzen 5 1600,$219 
Intel Xeon Processor E3-1230V2,$215 
Intel Core i5-12500 Processor,$209 
Intel Core i5-12400 Processor,$199 
AMD Ryzen 5 3600,$199 
AMD Ryzen 5 2600,$199 
AMD FX-8350,$195 
Intel Core i5-8500 Processor,$192 
Intel Core i5-7500 Processor,$192 
Intel Core i5-6500 Processor,$192 
Intel Core i5-11400 Processor,$182 
Intel Core i5-10400 Processor,$182 
Intel Core i5-8400 Processor,$182 
Intel Core i5-7400 Processor,$182 
Intel Core i5-4460 Processor,$182 
Intel Core i5-12400F Processor,$169 
Intel Core i5-11400F Processor,$157 
Intel Core i5-10400F Processor,$155 
AMD Ryzen 5 3400G,$149 
Intel Core i5-9400F Processor,$144 
Intel Core i3-12100F Processor,$99 
AMD Ryzen 3 3100,$99 
Intel Core i3-10105F Processor,$97 
Intel Core i3-10100F Processor,$97 
Intel Core i3-9100F Processor,$79 
Intel Xeon w9-3495X Processor,n/a
AMD Ryzen Threadripper PRO 5995WX,n/a
AMD Ryzen Threadripper PRO 5975WX,n/a
AMD Ryzen Threadripper PRO 3975WX,n/a
Intel Xeon w7-2495X Processor,n/a
Intel Core i9-13900KS Processor,n/a
AMD Ryzen 9 7950X3D?,n/a
AMD Ryzen 9 7945HX,n/a
Intel Core i9-13980HX Processor,n/a
Intel Core i9-13950HX Processor,n/a
Intel Core i7-13700 Processor,n/a
Intel Core i7-13700F Processor,n/a
Intel Core i9-13900HX Processor,n/a
AMD Ryzen 9 7900X3D?,n/a
AMD Ryzen 9 7900,n/a
Intel Core i9-12900HX Processor,n/a
Intel Core i7-12800HX Processor,n/a
Intel Core i5-13500 Processor,n/a
Intel Core i7-13700HX Processor,n/a
AMD Ryzen 7 7700,n/a
Intel Core i5-13500HX Processor,n/a
Intel Core i9-13900H Processor,n/a
AMD Ryzen 7 7800X3D,n/a
AMD Ryzen 9 3900,n/a
Intel Core i7-13700H Processor,n/a
AMD Ryzen 9 7940HS,n/a
Intel Core i9-12900H Processor,n/a
Intel Core i9-11900KB Processor,n/a
Intel Core i5-13490F Processor,n/a
Intel Core i9-12900HK Processor,n/a
Intel Core i7-12700H Processor,n/a
Intel Core i5-13400F Processor,n/a
Intel Core i5-13400 Processor,n/a
AMD Ryzen 7 5800X3D,n/a
Intel Core i9-11980HK,n/a
AMD Ryzen 5 7600X,n/a
AMD Ryzen 7 5800,n/a
AMD Ryzen 7 5700X,n/a
AMD Ryzen 9 6900HX,n/a
AMD Ryzen 7 6800H,n/a
Intel Core i7-11800H,n/a
AMD Ryzen 9 6900HS,n/a
AMD Ryzen 7 5700G,n/a
AMD Ryzen Z1 Extreme,n/a
AMD Ryzen 5 7600,n/a
AMD Ryzen 9 5900HX,n/a
Intel Core i9-11900H,n/a
AMD Ryzen 7 5800H,n/a
AMD Ryzen 9 5900HS,n/a
Intel Core i5-12500H Processor,n/a
Intel Core i5-12490F Processor,n/a
AMD Ryzen 7 4800H,n/a
AMD Ryzen 5 5600,n/a
Intel Core i7-10870H Processor,n/a
Intel Xeon Processor E5-2690 v3,n/a
Intel Core i5-11400H,n/a
AMD Ryzen 5 5500,n/a
Intel Core i5-12450H Processor,n/a
AMD Ryzen 7 6800U,n/a
AMD Ryzen 5 5600H,n/a
AMD Ryzen 5 4500,n/a
Intel Core i5-1240P Processor,n/a
Intel Core i7-1260P Processor,n/a
AMD Ryzen 5 4600H,n/a
Intel Core i3-12100 Processor,n/a
AMD Ryzen 5 3500X,n/a
Intel Core i7-11370H,n/a
Intel Core i5-10300H,n/a
Intel Core i5-1135G7 Processor,n/a
Intel Core i7-1165G7 Processor,n/a
